Quote,Label
落ち着け、そしてよく狙え。お前はこれから一人の人間を殺すのだ,1
あなたが売り場に向かって宝くじ券を購入する時は「大きな幸運をもたらす運気をいかにちょうだいするか」という大事な局面です。慎重かつ厳粛な気持ちを持ったうえで笑顔を忘れずに臨んでください,1
人生には「灰の時」と「炎の時」がある。なすべき何事もない時は、何もすべきでなはい。,1
負けると思えば負ける、勝つと思えば勝つ。逆になろうと、人には勝つと言い聞かすべし,1
自分がこの先どうなっていくのかというのは自分が一番楽しみにしています,1
高いハードルを設けて、そこに到達する方法を考え抜くこと。これが会社や個人の成長につながる。目標を作ってそこを目指さない限り、到達できないし、目標がない限り衰退す......,1
予測されるけれども目に見えない危険は、人の心を最もかき乱す,1
（男子は）４０年以上も五輪予選を突破していないんだから。それは明らかにドメスティックであり過ぎたからでしょう？　世界大会にも出られないほど国内を優先している限りは、日本は世界の......,1
叱ることと、次に叱られないためにはどうしたらいいかを教えることが、いつでもちゃんとワンセットになっていなければなりません,1
強くなるって心の成長も必ず伴わなければならない、思っていたより無様な時間の中にあるものでした,1
私はかつて、人の悪口を言ったことがあるか！誰か一度でも人の悪口を言ったのを聞いたことがあるか！私は一度もない,1
何か賞をいただいたら、その時のチームメートのおかげ、みんなでもらった賞だと思っています,1
彼は人に厳しい批評家ではなかった。特に僕の場合は、彼が影響力のある批評家だったから、大きな（成功への）手助けになったと思う。彼が（がんの治療であごの）手術をしてからは、ニューヨークにあまり来なくなったが、......,1
人間はなんのために生きるのかって考えてみると、苦難を乗り越えていくために生きるのだと思う。なにもしないで、生きていこうなんて生き方はだめよ,1
こーいうお笑いセンスのない人がいるおかげで僕らのお笑いという職業が成立してる,1
幸福だと「知って」はいても幸福だと「感じ」られないのです,1
それがまさか気仙沼で自衛隊の車を使ってパレートまで出来るとは（笑）。気仙沼市市民栄誉賞も受賞することが出来て本当に良かったです,1
講談はいわば、プレゼン芸のようなもの,1
三國さんは経営者としての風格を大事にしていて、普段の衣装もファッショナブル。それが、（釣りで）Ｔシャツを着るとかわいくなるんですが、風格があった。僕はそのへん、......,1
選手から見れば、どういう形でもいいから、勝ちゃいいんだ。勝ちゃ、評価される。逆に勝たなければ評価もされない。......,1
お金がないから好きなことができない？それなら、好きなことを仕事にしたらいいかも,1
中小企業、30?50人の企業というのは、それは親分が一番働いてないといかんでしょう,1
自然を愛するのは、自然がわれわれを憎んだり、嫉妬しないためでもない事はない,1
この言葉（「天災は忘れた頃来る」）が、その後方々で引用されるようになり、とうとう朝日新聞が、戦争中に、一日一訓というようなものを編集した時、九月一日の分に、......,1
物をたくさん持っていれば、失うとなるとたくさん失う心配がある。だから、財産家であるよりは、むしろ貧乏であって失う心配の・・,1
誰でも死を望む者はいないが、日頃、恩禄を受けていることは、ひたすら命に代わるものと観念し、あらかじめ無き身と考えることが義の本である,1
いろんな年齢層の方がご覧になっても楽しめるドラマになっていると思います,1
強いチームが出来上がった。過去最高の状態だ,1
「見切り千両」は、もともとは株のコトワザですが、人生万般にわたって通用する教訓だと思っています。見切るということは「損・・,1
「取れるなら取ってみろよ」ぐらいの気持ちでプレーしないと国際試合では勝てない,1
負けたら終わりなので、結果にこだわる激しさを出さないと勝てません,1
大学に入って、クラシックを聴く授業があって、そこで初めてホルストの『木星』を聴いたんですけれども、そのときに「なんて良い曲なんだろう」と思って、涙がボロボロ出てきて,1
私は庶民の味方だ。そういう人間なんだ,1
結婚──共同生活体のひとつの場合で、ひとりの主人とひとりの主婦と、二人の奴隷から成り、それでいて全部合わせても二人にし・・,1
食べることが好きなんです。それが一番の気分転換というか、モチベーションになる,1
難しかったところと言えば、キーが多少高かったので、そこがキツかったかな。だけどその分、張るところが出せたんで、男性ならではの熱さや本気度がより表れたかなと,1
不義理をしてバチが当たるのは相手,1
常に勝つのは不可能だからね。でも勝利に必要なことを知るためには、時に敗北も重要なんだ。,1
大酒飲みか！いいじゃないの。酒癖が悪い？そんなことは他人が勝手に決めつけることでね,1
自分の感覚だとか考えてることが世の中に通用しなくなる、それがリタイヤ,1
アメリカやドイツなどのエリートビジネスマンほど非常に意識が高い。彼らが普段、どのような努力をしていて、時間の使い方はどんな工夫をして、家庭とはどう向き合っているのか――......,1
諦めたら、そこでおしまい。粘って粘って納得いくまで,1
『伝える』ということは書でもTVでも大変難しく、TVの舞台裏では多くのスタッフが視聴者のことを必死に考えています。私も、そうした中で自分が今できることを、ひたすらやりま......,1
人間は時々、努めて頭を空っぽにしなければだめだ。,1
強い雨ほど長くは続かない。,1
早起きは三文の徳ならね、早起きは3億の徳,1
『美しさ』に決まった形など、ありません,1
現役時代は4番を張ってきた。逃げることのできない立場,1
決して裕福ではない家庭で育ち、傍から見れば辛い出来事もたくさん経験してきましたが、それでも私が自分を“幸せだと思えるのは、“ポジティブ脳を育てることができたからです,1
一番得意なプレーはボールを受けた時の縦へのドリブル,1
集中すべきところを選択するということは、思い切って捨てるところも決断しなければなりません,1
今後は“おじいちゃんネタを封印するウィッシュ。よろしくウィッシュ,1
貧乏人や怠け者は、成功する人より「できない」という言葉をよく使う。彼らが「できない」という言葉をよく使うのは、「できる」というより簡単だからだ。「それはできない」と言ってしまえば、たとえ本当はできても、......,1
自分が作りたい味もあるんだけど、それをおいしいって言ってくれるお客さんが少ないんだったら、それを強引に出すわけにもいかないじゃないですか。そこはやっぱり、みんなが喜ぶよ......,1
